,id,tweets,links
1359698720221192192,1.359698728286888e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/4qLq9yMx4I‌‌ 
SOURCE IMAGE:‌‌ https://t.co/VhYyC62DFi  ","http://www.shitpostbot.com/template/4-things-everyone-hates-57b1d2baaf2b8
http://www.shitpostbot.com/sourceimage/neptune-58faf67799aa1"
1359691162370666499,1.3596911707676344e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/ykmdtqJOX1‌‌ 
SOURCE IMAGE:‌‌ https://t.co/SX38AXNelX  ","http://www.shitpostbot.com/template/fbi-594ec0a0c4917
http://www.shitpostbot.com/sourceimage/ganondorf-57c071600c16c"
1359683618784882689,1.3596836270392197e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/EMGgqnkirz‌‌ 
SOURCE IMAGE:‌‌ https://t.co/hFKRMEMlI9  ","http://www.shitpostbot.com/template/jackpot-57b2616ddfceb
http://www.shitpostbot.com/sourceimage/spangebab-57e2fc6ae125d"
1359676071877234689,1.3596760749306798e+18,".@ShitpostBot5000  
SOURCES:
1. https://t.co/udW08NfoIZ‌‌‌‌
2. https://t.co/wLT9b2K9ul    ","http://www.shitpostbot.com/sourceimage/spongebobwwii-584e1288cf6a7
http://www.shitpostbot.com/sourceimage/50-shades-57fbe6bf0c8e8"
1359676063585087489,1.3596760718772347e+18,.@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/bihCxVc5yl  ,http://www.shitpostbot.com/template/presidential-election-57ca26ceb1627
1359668515645587456,1.359668524063617e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/5Qp07XBkUZ‌‌ 
SOURCE IMAGE:‌‌ https://t.co/m63DXr3YCu  ","http://www.shitpostbot.com/template/playingsomegames-58759cb00aec1
http://www.shitpostbot.com/sourceimage/pancakes-astronaut-57b228dabe753"
1359660966099750913,1.3596609743122227e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/XppIbdQAyM‌‌ 
SOURCE IMAGE:‌‌ https://t.co/2c1nxH8HvV  ","http://www.shitpostbot.com/template/daughter-57c1bb14536a5
http://www.shitpostbot.com/sourceimage/ginger-child-57b9a74d95745"
1359653422342033411,1.3596534304873513e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/N9x4J1jKss‌‌ 
SOURCE IMAGE:‌‌ https://t.co/x8JOCtYJ1W  ","http://www.shitpostbot.com/template/girlfriend-furious-58f53111d2446
http://www.shitpostbot.com/sourceimage/shinitai-57e728f930e75"
1359645859894489098,1.3596458681027174e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/UVmv0YY5Wv‌‌ 
SOURCE IMAGE:‌‌ https://t.co/r2L93UQvKK  ","http://www.shitpostbot.com/template/furry-57d816f3ec02c
http://www.shitpostbot.com/sourceimage/chickenhorse-5887be20df401"
1359638324579889158,1.3596383331320545e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/oQcPvYijq0‌‌ 
SOURCE IMAGE:‌‌ https://t.co/FahjoRV70q  ","http://www.shitpostbot.com/template/internet-experience-58d202b93d92f
http://www.shitpostbot.com/sourceimage/nsfw-589a974d4dc80"
1359630764158160899,1.3596307730668585e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/z6ZsxTJDBz‌‌ 
SOURCE IMAGE:‌‌ https://t.co/vE2UzgCNSi  ","http://www.shitpostbot.com/template/computer-death-wish-5a62d094507aa
http://www.shitpostbot.com/sourceimage/farage-57b5bf9b7c1d8"
1359623219993542658,1.359623228377989e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/soa0eTcypb‌‌ 
SOURCE IMAGE:‌‌ https://t.co/mepLtBCAr9  ","http://www.shitpostbot.com/template/90s-57c6446676ede
http://www.shitpostbot.com/sourceimage/disgust-57e3fc614fc64"
1359615664445661185,1.3596156729097093e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/75V0wAeiq3‌‌ 
SOURCE IMAGE:‌‌ https://t.co/nnb7AdwK3t  ","http://www.shitpostbot.com/template/when-you-drop-your-phone-57d55b1a5e3dc
http://www.shitpostbot.com/sourceimage/whoamamma-5a4b04fd745b1"
